id,name,temperament,weight,height,life_span,bred_for,image
1,Affenpinscher,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving",3 - 6,23 - 29,10 - 12,"Small rodent hunting, lapdog",https://cdn2.thedogapi.com/images/BJa4kxc4X.jpg
2,Afghan Hound,"Aloof, Clownish, Dignified, Independent, Happy",23 - 27,64 - 69,10 - 13,Coursing and hunting,https://cdn2.thedogapi.com/images/hMyT4CDXR.jpg
3,African Hunting Dog,"Wild, Hardworking, Dutiful",20 - 30,76,11,A wild pack animal,https://cdn2.thedogapi.com/images/rkiByec47.jpg
4,Airedale Terrier,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous",18 - 29,53 - 58,10 - 13,"Badger, otter hunting",https://cdn2.thedogapi.com/images/1-7cgoZSh.jpg
5,Akbash Dog,"Loyal, Independent, Intelligent, Brave",41 - 54,71 - 86,10 - 12,Sheep guarding,https://cdn2.thedogapi.com/images/26pHT3Qk7.jpg
6,Akita,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",29 - 52,61 - 71,10 - 14,Hunting bears,https://cdn2.thedogapi.com/images/BFRYBufpm.jpg
7,Alapaha Blue Blood Bulldog,"Loving, Protective, Trainable, Dutiful, Responsible",25 - 41,46 - 61,12 - 13,Guarding,https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg
8,Alaskan Husky,"Friendly, Energetic, Loyal, Gentle, Confident",17 - 23,58 - 66,10 - 13,Sled pulling,https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg
9,Alaskan Malamute,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",29 - 45,58 - 64,12 - 15,"Hauling heavy freight, Sled pulling",https://cdn2.thedogapi.com/images/dW5UucTIW.jpg
10,American Bulldog,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant",27 - 54,56 - 69,10 - 12,,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg
11,American Bully,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",14 - 68,36 - 43,8 – 15,Family companion dog,https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg
