id,name,description,weight,temperament,origin,life_span,adaptability,affection_level,energy_level,health_issues,intelligence,stranger_friendly,child_friendly,hairless,natural,short_legs,rare,indoor,image,wikipedia_url
1,Abyssinian,"The Abyssinian is easy to care for, and a joy to have in your home. They’re affectionate cats and love both people and other animals.",3 - 5,"Active, Energetic, Independent, Intelligent, Gentle",Egypt,14 - 15,5,5,5,2,5,5,3,False,True,False,False,False,https://cdn2.thecatapi.com/images/0XYvRd7oD.jpg,https://en.wikipedia.org/wiki/Abyssinian_(cat)
2,Aegean,"Native to the Greek islands known as the Cyclades in the Aegean Sea, these are natural cats, meaning they developed without humans getting involved in their breeding. As a breed, Aegean Cats are rare, although they are numerous on their home islands. They are generally friendly toward people and can be excellent cats for families with children.",3 - 5,"Affectionate, Social, Intelligent, Playful, Active",Greece,9 - 12,5,4,3,1,3,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/ozEvzdVM-.jpg,https://en.wikipedia.org/wiki/Aegean_cat
3,American Bobtail,American Bobtails are loving and incredibly intelligent cats possessing a distinctive wild appearance. They are extremely interactive cats that bond with their human family with great devotion.,3 - 7,"Intelligent, Interactive, Lively, Playful, Sensitive",United States,11 - 15,5,5,3,1,5,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/hBXicehMA.jpg,https://en.wikipedia.org/wiki/American_Bobtail
4,American Curl,"Distinguished by truly unique ears that curl back in a graceful arc, offering an alert, perky, happily surprised expression, they cause people to break out into a big smile when viewing their first Curl. Curls are very people-oriented, faithful, affectionate soulmates, adjusting remarkably fast to other pets, children, and new situations.",2 - 5,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",United States,12 - 16,5,5,3,1,3,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/xnsqonbjW.jpg,https://en.wikipedia.org/wiki/American_Curl
5,American Shorthair,"The American Shorthair is known for its longevity, robust health, good looks, sweet personality, and amiability with children, dogs, and other pets.",4 - 7,"Active, Curious, Easy Going, Playful, Calm",United States,15 - 17,5,5,3,3,3,3,4,False,True,False,False,False,https://cdn2.thecatapi.com/images/JFPROfGtQ.jpg,https://en.wikipedia.org/wiki/American_Shorthair
6,American Wirehair,"The American Wirehair tends to be a calm and tolerant cat who takes life as it comes. His favorite hobby is bird-watching from a sunny windowsill, and his hunting ability will stand you in good stead if insects enter the house.",4 - 7,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",United States,14 - 18,5,5,3,3,3,3,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/8D--jCd21.jpg,https://en.wikipedia.org/wiki/American_Wirehair
7,Arabian Mau,"Arabian Mau cats are social and energetic. Due to their energy levels, these cats do best in homes where their owners will be able to provide them with plenty of playtime, attention and interaction from their owners. These kitties are friendly, intelligent, and adaptable, and will even get along well with other pets and children.",4 - 7,"Affectionate, Agile, Curious, Independent, Playful, Loyal",United Arab Emirates,12 - 14,5,5,4,1,3,3,4,False,True,False,False,False,https://cdn2.thecatapi.com/images/k71ULYfRr.jpg,https://en.wikipedia.org/wiki/Arabian_Mau
8,Australian Mist,"The Australian Mist thrives on human companionship. Tolerant of even the youngest of children, these friendly felines enjoy playing games and being part of the hustle and bustle of a busy household. They make entertaining companions for people of all ages, and are happy to remain indoors between dusk and dawn or to be wholly indoor pets.",3 - 7,"Lively, Social, Fun-loving, Relaxed, Affectionate",Australia,12 - 16,5,5,4,1,4,4,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/_6x-3TiCA.jpg,https://en.wikipedia.org/wiki/Australian_Mist
9,Balinese,"Balinese are curious, outgoing, intelligent cats with excellent communication skills. They are known for their chatty personalities and are always eager to tell you their views on life, love, and what you’ve served them for dinner. ",2 - 5,"Affectionate, Intelligent, Playful",United States,10 - 15,5,5,5,3,5,5,4,False,False,False,False,False,https://cdn2.thecatapi.com/images/13MkvUreZ.jpg,https://en.wikipedia.org/wiki/Balinese_(cat)
10,Bambino,"The Bambino is a breed of cat that was created as a cross between the Sphynx and the Munchkin breeds. The Bambino cat has short legs, large upright ears, and is usually hairless. They love to be handled and cuddled up on the laps of their family members.",2 - 4,"Affectionate, Lively, Friendly, Intelligent",United States,12 - 14,5,5,5,1,5,3,4,True,False,True,False,False,https://cdn2.thecatapi.com/images/5AdhMjeEu.jpg,https://en.wikipedia.org/wiki/Bambino_cat
